MESA,UNE,SEMILLA,NULOS,BLANCO
1877,11,46,26,0
1878,6,32,20,0
1879,5,45,19,0
1880,6,34,24,1
1881,8,25,13,3
1882,8,31,13,2
1883,6,24,15,0
1884,10,34,10,0
1885,8,30,14,0
1886,6,32,15,0
1887,6,31,17,0
1888,3,26,18,1
1889,8,30,7,0
1890,10,32,15,3
1891,4,28,10,0
1892,3,31,10,0
1893,4,24,15,0
1894,7,34,9,0
1895,5,27,13,1
1896,4,34,13,1
1897,3,29,14,1
1898,9,30,21,0
1899,2,36,17,1
1900,7,34,25,0
1901,9,39,23,0
1902,7,37,20,0
1903,10,37,22,0
1904,10,37,14,0
1905,5,34,19,0
1906,10,33,21,3
1907,3,41,18,0
1908,4,40,9,2
1909,9,38,10,1
1910,12,40,18,0
1911,6,36,23,2
1912,8,39,19,0
1913,6,38,21,2
1914,8,29,13,1
1915,3,47,15,0
1916,4,34,20,0
1917,6,40,13,0
1918,9,31,11,1
1919,2,31,18,2
1920,5,43,12,0
1921,9,32,19,0
1922,4,30,22,1
1923,8,30,25,0
1924,6,34,13,0
1925,7,34,18,0
1926,9,34,15,0
1927,9,30,11,0
1928,12,31,11,0
1929,11,38,20,1
1930,6,45,13,0
1931,5,33,21,0
1932,9,23,15,3
1933,3,26,20,0
1934,8,25,15,1
1935,9,46,17,0
1936,5,40,16,0
1937,7,38,17,1
1938,6,45,23,1
1939,11,35,14,0
1940,9,27,13,1
1941,6,30,17,0
1942,5,29,25,2
1943,8,38,17,0
1944,13,37,23,420
1945,12,31,15,0
1946,10,45,14,0
1947,7,44,10,0
1948,7,46,19,0
1949,8,20,12,0
1950,13,19,16,0
1951,8,30,7,0
1952,10,32,15,1
1953,5,28,12,--
1954,7,25,17,0
1955,10,22,13,1
1956,3,23,13,2
1957,4,18,19,1
1958,6,25,6,1
1959,9,22,6,0
1960,4,22,4,0
1961,4,21,8,0
